C00000001D0BBF32 HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 0000001D HitCount: 0B LOCAL L1 TIMESTAMP: BF32
0B52B9CD1E73C986 DATA   : TIGER: 1 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: B9CD Ecoarse: 1E7 Tfine: 0F2 Efine: 186 
0352B9CC1E634DA1 DATA   : TIGER: 0 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: B9CC Ecoarse: 1E6 Tfine: 0D3 Efine: 1A1 
1352B9CC1E637933 DATA   : TIGER: 2 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: B9CC Ecoarse: 1E6 Tfine: 0DE Efine: 133 
1B52B9CC1E638568 DATA   : TIGER: 3 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: B9CC Ecoarse: 1E6 Tfine: 0E1 Efine: 168 
225244980B2361B8 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: 4498 Ecoarse: 0B2 Tfine: 0D8 Efine: 1B8 
22F444950AF43211 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 3D tacID: 0 Tcoarse: 4495 Ecoarse: 0AF Tfine: 10C Efine: 211 
22FE44940AE4BA67 DATA   : TIGER: 4 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 3F tacID: 2 Tcoarse: 4494 Ecoarse: 0AE Tfine: 12E Efine: 267 
325244990B33A1BE DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 14 tacID: 2 Tcoarse: 4499 Ecoarse: 0B3 Tfine: 0E8 Efine: 1BE 
32FA44BA0D4281F7 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 3E tacID: 2 Tcoarse: 44BA Ecoarse: 0D4 Tfine: 0A0 Efine: 1F7 
32E5447709133D64 DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 39 tacID: 1 Tcoarse: 4477 Ecoarse: 091 Tfine: 0CF Efine: 164 
32FB44DB0F52D5FC DATA   : TIGER: 6 LAST TIGER FRAME NUM[2:0]: 2 TIGER DATA: ChID: 3E tacID: 3 Tcoarse: 44DB Ecoarse: 0F5 Tfine: 0B5 Efine: 1FC 
E00CB02A34000000 TRAILER: LOCAL L1  FRAMENUM [23:0]: 006581: GEMROC_ID: 0A TIGER_ID: 6 LOCAL L1 COUNT[2:0]: 4 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
40A000000000001D Sequence.

C00000001E0A87BF HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 0000001E HitCount: 0A LOCAL L1 TIMESTAMP: 87BF
